"comments","enjoyment","age","gender","education","language","fairprice","workerid","asses","speaker_cond"
"great study",2,24,"Male",2,"english",1,712,"Yes","exp29"
"GOOD ONE",1,26,"Female",3,"ENGLISH",1,713,"Yes","exp29"
"good",2,42,"Female",3,"ENGLISH",1,714,"Yes","exp29"
"That was a little difficult because of how subjective aspects of it were.  A lot of the grammar was confusing as well.  I did my best and hope it was valuable for you.  Thanks!",1,34,"Male",3,"English",1,715,"Yes","exp29"
"No comment",1,21,"Male",2,"English",0,716,"Yes","exp29"
"",2,57,"Female",1,"English",1,717,"Yes","exp29"
"",0,53,"Female",2,"english",0,718,"Confused","exp29"
"",1,52,"Female",3,"English",1,719,"Yes","exp29"
"Good work",2,25,"Male",3,"English",1,720,"Yes","exp29"
"",1,34,"Male",3,"English",1,721,"Confused","exp29"
"This was tough but interesting",1,36,"Male",3,"English",1,722,"Yes","exp29"
"Nothing to add, thank you.",1,28,"Male",3,"English",1,723,"Yes","exp29"
"",2,49,"Female",3,"english",1,724,"Yes","exp29"
"did my best not sure if i answered correctly on all of them though",1,38,"Male",3,"english",1,725,"Confused","exp29"
"",1,26,"Male",2,"english",1,726,"Yes","exp29"
"This was weird, but it was fun!",1,20,"Male",1,"English",1,727,"Yes","exp29"
"I am a Sociology student with an emphasis on mental health.  I am interested in the results.  Ishmaeldavis119@gmail.com",1,29,"Male",3,"English",1,728,"Yes","exp29"
"",1,35,"Female",3,"English",1,729,"Confused","exp29"
"",2,38,"Male",1,"english",1,730,"Yes","exp29"
"",0,31,"Female",2,"english",0,731,"Yes","exp29"
"Good experiment",2,30,"Female",3,"English",0,732,"Yes","exp29"
"",1,30,"Female",4,"english",1,733,"Yes","exp29"
"",2,32,"Female",3,"English",1,734,"Yes","exp29"
"The nuances in the language was quite interesting - I am hoping I got everything correct!",1,43,"Female",3,"United States",1,735,"Yes","exp29"
"",1,23,"Female",3,"English",1,736,"Yes","exp29"
