tgrep.id,entire.sentence,,Most difficult when comparing clauses or things that didn't fit the same type. Also determining if certain adjective noun pairs were units sometimes made it difficult to know if nouns or adjectives were being compared. ,,Use,Notes,,,"for closest verb that wraps ///OR/// then categorize past, present, future"
130040:62,"well, i found out after washing out many a peanut butter jar that they're not a recycling number one ///OR/// two.",,,,,,,,
54645:43,"you see it for, uh, you know a couple of hours ///OR/// an hour",,,,,,,,
106579:87,so. it became dangerous for us to keep transporting her back and forth in the car because she was so wobbly and needed a walker ///OR/// a wheel chair,,,,,,,,
173411:18,and then they have naps ///OR/// rest period.,,,,,,,,
94302:19,"well, get a towel ///OR/// go change.",,,,,,,,
59616:52,and it doesn't matter what restrictions you put on that type of weapon ///OR/// a class three firearm.,,,,,,,,
174625:55,"if i, if i elicit good behavior i'm out in maybe five ///OR/// ten.",,,,,,,,
134089:60,"and they do post, uh, uh, warnings for people who have, uh, heart diseases ///OR/// respiratory problems during that summer season.",,,,,,,,
168438:37,"i've never had a, a punishment ///OR/// a, a crime like a murder touch my immediate family",,,,,,,,
35654:67,"but, you know, that's a sign that i'm going to have to do something sooner ///OR/// later.",,,,,,,,
133392:61,"um, short term, i don't think anything's going to be done about it ///OR/// probably should be done about it.",,,,,,,,
93867:26,"but if it's like a social activity ///OR/// a recreational activity, i don't mind",,,,,,,,
37770:39,"but i wouldn't want to go teach high school ///OR/// junior high,",,,,,,,,
63853:64,"i don't know how, how soon they're going to do it, ///OR/// how organized it's going to be,",,,,,,,,
31580:134,"i mean, he, he puts himself in the hospital fairly regularly thinking that, you know, he, he's not sure if he's going try to commit suicide ///OR/// not.",,,,,,,,
106103:34,and he left it up to me if i worked ///OR/// not.,,,,,,,,
33778:41,do you like to exercise because you want to ///OR/// because you have to.,,,,,,,,
134049:25,"i think i've bought one ///OR/// two new cars in my life,",,,,,,,,
171916:24,"you go, you know three ///OR/// four hours before the game.",,,,,,,,
109764:99,"oh, when we first were, were here, it was like we'd take maybe a, oh, a grocery sack full ///OR/// maybe two grocery sacks full,",,,,,,,,
30997:16,"i read about one ///OR/// two thick novels like that a year. you know,",,,,,,,,
70078:22,"have y'all been having any heat waves ///OR/// like the ninety degree,",,,,,,,,
54571:48,a lot of things we try to catch like at the dollar theater ///OR/// matinees,,,,,,,,
145702:45,"and, and they always have, you know, two ///OR/// three new onesf to adde to the list, you know,",,,,,,,,
58315:64,"but human nature being such as it is, i would think it would take, probably, two ///OR/// three years before people co-, could completely cut the cord.",,,,,,,,
75880:7,you ///OR/// the insurance companies never see any of that money.,,,,,,,,
170249:63,"you know. because it's not a person's fault that, you know, people not buying ///OR/// businesses are, are not on the up and up all the time, you know.",,,,,,,,
173510:113,"well, it seems like, well it, it seems as if in the past typically there have been a lot of cases of people being wrongly tried ///OR/// wrongly punishedb,",,,,,,,,
162665:33,i don't know if i'm making any sense ///OR/// not.,,,,,,,,
91264:39,"but i think you can also get a bad education at public ///OR/// private, you know,",,,,,,,,
83455:205,"uh, i think that the judges should be leftd to do most of the sentencing, simply because, uh, there is always, uh, there is, there is always a jury that might be swayedb, uh, by the moment, uh, to either to be too lenient ///OR/// too vengeful, i guesse.",,,,,,,,
110657:88,"i just, i just don't think there's a place in our environment, you know in the work force for drugs, ///OR/// alcohol either.",,,,,,,,
18182:39,"i mean just, just scratching two ///OR/// three inches was just a chore.",,,,,,,,
66676:23,"now whether they finally got it ///OR/// not, i don't know.",,,,,,,,
90762:42,"um, i, i was talking to somebody recently ///OR/// read somewhere where they, where they said that, you know, these children, they, they had to be the best,",,,,,,,,
85973:53,"i mean that was one thing, that came out of it, good ///OR/// bad,",,,,,,,,
106753:24,"did you have, uh, one coat ///OR/// two.",,,,,,,,
11797:36,"and, uh, i don't know whether that's bad ///OR/// good,",,,,,,,,
95445:55,"we use it more for just writing programs when we need to or, um, doing research, looking at the speech signal and then doing writing, and also as a just as a terminal,",,,,,,,,
111321:31,but a lot of their classes there were only eight ///OR/// ten children in their classes,,,,,,,,
103930:153,"you know, that's, that's scary because, you know, i'm not sure, i think we're paroling them without even knowing if they're, you know, goingb to be committing any more violent acts ///OR/// not.",,,,,,,,
163926:23,you going to get ten ///OR/// fifteen bucks for it,,,,,,,,
122138:110,"um, huh. well, i don't like it when, uh, people listen to my phone conversations, like if they're outside my door while i'm talking in my room, ///OR/// when people like look through my things in my bedroom.",,,,,,,,
127327:49,"i wonder how they're going to get through the winter. food wise ///OR/// any wise,",,,,,,,,
59184:37,"i mean, they may let you off for a day ///OR/// two to have your baby,",,,,,,,,
175063:135,"and when you have two kids in that class that constantly keeps ca-, the class in an uproar and you're not at liberty to do something about it, other than give them on campus isolation ///OR/// send them to the principal's office. it it, you know, it can, it can really be bad.",,,,,,,,
155861:103,"but i, i think that there are, there are advantages to having seniority and, uh, turn-, or, not having a complete turnover every, some small number of years.",,,,,,,,
127119:72,"it, it seems like t i is pretty cut and dried with two, like, two ///OR/// three levels.",,,,,,,,
171908:16,there's about six ///OR/// eight guys that we use to go out for these games.,,,,,,,,
136298:23,"and there are parts of downtown ///OR/// near downtown dallas that are under water right now, i guess,",,,,,,,,
18697:70,"uh, there's no way that i could begin to process and keep up with the kinds of information ///OR/// the magnitude of information that i needd to, to try to do my jobb without them.",,,,,,,,
67486:48,"i mean, around texas, you, you got about five ///OR/// six,",,,,,,,,
159476:33,"and i haven't really gone out, and bought any ///OR/// listened to much on the, on the radio except for classical",,,,,,,,
97884:143,"and have, have some kind of real good program, set up so that you, when you go you can be assured that if there's an emergency that person in charge knows c p r ///OR/// first aid",,,,,,,,
95601:41,do you think you d base is more flexible ///OR/// allows you to do more.,,,,,,,,
7486:45,"they're real liberal now and to where probably fifty ///OR/// a hundred years ago, um, the democrat party being liberal like they are now, you know, would never be thought of,",,,,,,,,
111943:55,"where do you go if you like to have a nice meal out, ///OR/// a big meal.",,,,,,,,
148422:49,"most, most likely i would be listen to, uh, jazz ///OR/// classical music.",,,,,,,,
48916:100,"and that's where a lot of aggravation comes, i think, is, is, uh, these guys spend so much time in the appeal process ///OR/// just in the waiting process,",,,,,,,,
50711:45,"the, the difficulty would be in whether it's voluntary ///OR/// involuntary.",,,,,,,,
107454:21,and sometimes you might have two ///OR/// three.,,,,,,,,
14114:23,"normally i listen to c n n ///OR/// headline news about an, hour a day,",,,,,,,,
133405:39,and that effectively adds to whether it's officially on the books ///OR/// not.,,,,,,,,
18787:67,"i don't know if it's, the, if they've done it citywide yet ///OR/// not where they have the color coded, uh, bags and, uh, bins.",,,,,,,,
19926:76,"see, i had never really been into science fiction that much until, uh, somebody gave me mist of avalon probably about five ///OR/// six years ago.",,,,,,,,
21110:62,"and as the world turns. i think as the world turns may, still on ///OR/// not.",,,,,,,,
72704:22,"i'll stay up until two ///OR/// three o'clock in the morning, you know, because i'm so engrossed in it",,,,,,,,
6505:69,"the question was, um, what, what is your opinion of youth, uh, spending a year ///OR/// two in, in public service.",,,,,,,,
23676:18,"you serve that yourself, ///OR/// the, for a family.",,,,,,,,
84591:56,"and this thing came on where these, a group of like five ///OR/// six guys went and filmed themselves beating up people in the street and, and robbing them.",,,,,,,,
139466:13,you pour bouillon ///OR/// chicken broth over it,,,,,,,,
48909:46,"and you can, probably spend, uh, a lot of time, uh, ///OR/// maybe eventually, uh, just waiting it out,",,,,,,,,
47787:16,but a lot women die ///OR/// shop at foley's,,,,,,,,
63755:97,"i thought maybe they would convert to, uh, metric back when they went to the fifty-five mile an hour speed limit, because what is it fifty-six ///OR/// fifty-seven's a hundred, uh, qua-, a hundred kilometers,",,,,,,,,
167649:52,"recently graduated from high school. meaning like, uh, you know, three ///OR/// four years ago.",,,,,,,,
19604:48,i don't know if i would call it a collection of vietnam war stories ///OR/// if i'd call it a collection of vietnam love stories.,,,,,,,,
158063:82,"but, um, he said that he would, he would want to, to seriously hurta ///OR/// if not kill someone if, if they did something to his wife.",,,,,,,,
107430:41,i don't know if it's done by a private company ///OR/// not.,,,,,,,,
49833:71,"but they would go out and try to go for, uh, the best people and then mold them into different areas ///OR/// find their natural niche.",,,,,,,,
141002:47,"and that's kind of like a special time for just myself and my little girl ///OR/// myself and my son,",,,,,,,,
20140:22,and i haven't taken the time ///OR/// effort to learn what they are.,,,,,,,,
123645:19,"well, for the past week ///OR/// two it's been cold and wet",,,,,,,,
31499:38,"but, um, in many, many cases whether ///OR/// not an individual has a problem with drugs, it's not even going to effect anybody but his, uh, you know, himself and his own family, perhaps, um, depending on the kind of drug he might be on.",,,,,,,,
20016:38,"well, see i, i am debating whether ///OR/// not i want to go see the movie after having read the book.",,,,,,,,
169316:26,"and anything i participated in ///OR/// know about when i read about it in the paper is always so, uh, covered from such a funny and superficial perspective that i don't have much confidence in it.",,,,,,,,
70937:67,"so, i don't know if we, we did a good thing to buy a house ///OR/// not",,,,,,,,
75070:30,"it's all new wiring up in the attic, ///OR/// i guess crawl space,",,,,,,,,
169005:87,"well, it depends on whether you, whether we figure that we have that we have a defense oriented military ///OR/// an aggressive, aggression oriented military.",,,,,,,,
44591:124,"and, uh, she's been holding herself pretty well. the, uh, up until, you know, recently where she's been having accidents in the house because she either is losing control ///OR/// she forgets where she isf",,,,,,,,
13389:122,"i guess the, uh, biggest thing i f-, find is the financial aspects, uh, particularly, the ability of people to access, you know, your financial records or, for example your credit, uh, rating almost at will.",,,,,,,,
99064:18,and you can decide guilt ///OR/// innocence on that.,,,,,,,,
163526:49,"and the poor president has, hasb to, uh, either accept ///OR/// reject the whole thing.",,,,,,,,
169818:51,"i mean a lot of, a lot of people as kids or, you know, young people get into some things that they get out of later on",,,,,,,,
106956:13,"believe it ///OR/// not, we did,",,,,,,,,
48175:48,and we tried to be a part of it but not overshadowing him ///OR/// making him feel that we had to be there all the time.,,,,,,,,
21390:163,"and that really made it a very interesting, uh, show to where you never really knew which, which one was going to show up. you know, whether it was going to, where they're going to be real close ///OR/// whether they're just going to be partners, you know",,,,,,,,
91239:28,"would you, uh, advise a private school, ///OR/// a public school,",,,,,,,,
176223:59,"the, uh, the first, uh, ten years, see first ten ///OR/// twelve years, i stayed home.",,,,,,,,
52732:129,"because too, too often, there can be extremism that, that hurts from, from any direction, regardless of wha-, whatever you're arguingb ///OR/// concerneda about.",,,,,,,,
145167:70,"uh, are you going to, uh, put your son in child care in a, a year ///OR/// two.",,,,,,,,
91270:46,"i, i think the bad part is that most parents ///OR/// kids don't know what to look for.",,,,,,,,
88646:66,"and, uh, when, when i was first here in, in dallas ///OR/// in plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. and i was finally able to afford a new typewriter,",,,,,,,,
94994:144,"uh, when my children were growing up, i actually had them, up and until they were in the preschool situation, i had them in a, in a home with a lady who kept two ///OR/// three kids,",,,,,,,,
137574:82,"course, i think, you know, you can't really go by what happened earlier in the season because teams jell together ///OR/// they've had injuries that heal",,,,,,,,
83940:43,"i, i figured maybe i'd get one ///OR/// two years out of it,",,,,,,,,
169350:140,"if you were deeply involved in it, then you immediately realize that what they print is stuff that you probably knew already and the stuff that you want they're not printing because the average person doesn't need ///OR/// want to know that much.",,,,,,,,
7449:24,"and whether you vote for one person ///OR/// the other person, the issues is what, you know, what you believe in,",,,,,,,,
157511:153,"well, the, the one thing that i know does seem to happen from people i've talked toc on this, is that in the situation you just said where it's nine to three, ///OR/// some such number, that there's, an effect starts being that there's starts being a lot of peer pressure going on",,,,,,,,
84098:36,"are you one of these, uh, howard garrett, organic enthusiasts ///OR/// a, neil sperry, nuke the lawn with chemicals.",,,,,,,,
81609:13,"and christopher reeve, or, mike douglas went after his throat, you dummy.",,,,,,,,
166593:34,once i found out that that's really not necessary ///OR/// legal then i just refuse,,,,,,,,
73241:15,"it was a visa ///OR/// mastercard,",,,,,,,,
13047:33,"i guess probably my favorite all time country and western song ///OR/// singer is, uh, probably eddy arnold.",,,,,,,,
33245:36,we we tried to be fancier ///OR/// more courses than the other,,,,,,,,
110197:24,and that's just like a mile ///OR/// two from our house,,,,,,,,
132536:65,"i remember every time, it seems like, we turned around, they're adding another nickel ///OR/// a few more cents onto the price of gasoline.",,,,,,,,
31185:89,"uh, well, just over the years there were situations that, uh, uh, came up that i didn't thinke were fair ///OR/// handled correctly",,,,,,,,
130589:20,and i went to a vineyard ///OR/// two in germany.,,,,,,,,
2462:69,"but if we're going to have a meeting, where we're having the attorneys come in, ///OR/// people from, uh, other party's attorneys and stuff, then i normally dress up.",,,,,,,,
60261:35,"but he was, no, completely against having a dog ///OR/// cat,",,,,,,,,
84644:31,i do not know what the world is ///OR/// is not.,,,,,,,,
81171:123,"i, i hear a lot of criticism about listening to these, the dan rathers of the world and, and listen-, and taking their word for it, ///OR/// their comment,",,,,,,,,
24983:30,"the only reason i asked about secondary schools or, you know, advanced education is because down here, you know, going to the university of texas, the education i'm getting i think is kind of shoddy for a public school.",,,,,,,,
53823:87,"putting them in, i mean, they were, they were call-, they called them their quiet rooms ///OR/// their isolation rooms.",,,,,,,,
44672:63,"and she knew whether to, to, to quietly come up to me ///OR/// to just run and knock me over.",,,,,,,,
146529:68,"i would find it very difficult, uh, to, uh, place eit-, my father ///OR/// my step-mother uh, in a place like that. particularly, since i know how they feel about it.",,,,,,,,
172194:58,"i've found that most of homework assignments mumblex really require some sort of computer, uh, simulation ///OR/// analysis,",,,,,,,,
55814:50,"but if i were you, i would go apply to either a health club ///OR/// one of the others and use it for a while.",,,,,,,,
109003:96,"i find a lot of the cookbooks that, i don't know, that you buy over the counter ask for really strange ingredients, ///OR/// things i don't keep on hand all the time",,,,,,,,
139225:66,"i don't think is, is, we can determine whether we were right ///OR/// wrong,",,,,,,,,
14162:28,radio seems to have a full platter ///OR/// full plate of different things that they need to get done.,,,,,,,,
12595:51,"so i can't say whether that, that i'm pro israel ///OR/// anti israel.",,,,,,,,
119572:54,"i said, well, i can tell them how to fish with a minnow ///OR/// how to fish with a worm.",,,,,,,,
25318:34,i don't like it when it's too cool ///OR/// too warm.,,,,,,,,
105161:44,"and how can a country stand to, uh, spend as much ///OR/// much more than they already are on such a problem, uh,",,,,,,,,
35001:135,"i, i have a hard time sticking with something like, like on t v, because, it, like, it gets real aggravating if you miss it, for a week ///OR/// two.",,,,,,,,
81053:30,it's not as slanted as the new york times ///OR/// as biased perhaps as the local paper.,,,,,,,,
85435:43,"so we really don't know whether there's enough fossil fuel left ///OR/// there isn't,",,,,,,,,
17349:18,"they do kind of follow or, are similar.",,,,,,,,
20556:19,she was there for two ///OR/// three years before we got marriede.,,,,,,,,
171264:74,"well if you drag twelve people into a courtroom, i trust them to make the right decision as to whether someone's guilty ///OR/// innocent.",,,,,,,,
19079:83,"and so i-, it's a real difficult choice whether we want styrofoam cups to fill up our landfills or, uh, china cups to use up our waterf.",,,,,,,,
61667:103,"but if you want him to be and he doesn't want to be, he'll just, he'll, you know either scratch you ///OR/// run away.",,,,,,,,
14639:25,"but, um, they have about four ///OR/// five different prices now, that they're structuring it with,",,,,,,,,
112125:26,and i was just seeing in the newspaper ///OR/// the grocery store that some miss america was abused by the man she loved,,,,,,,,
95657:81,"i, i especially agree that if it's an area where they could cause somebody else, you know harm ///OR/// injury, absolutely.",,,,,,,,
46484:121,"but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go by yourself at night, i'd have to set them down for about five ///OR/// ten minutes to list all the places out.",,,,,,,,
166786:69,"because i think what they often get used asc is, uh, almost like a very high level ///OR/// long-term care for, uh, similar to a hospital.",,,,,,,,
49324:208,"on a, on a, on a, what we would, you know, what you described as your house and what i would describe as my house say, for example, in pensacola, florida, on that house with the homestead exemption and so forth and so on, might pay three ///OR/// four hundred dollars a year taxes.",,,,,,,,
24636:108,"well, does your, the company say, for instance, does the company you worked for bef-, before have the right ///OR/// do they have the ability to say, hey, we've already drug tested her",,,,,,,,
80782:52,well i was going to ask if you planned to paint over it ///OR/// try to strip it.,,,,,,,,
57920:78,"and i, i agree with you also, that i feel like it was not worth the money spent ///OR/// the lives lost to fight that war.",,,,,,,,
81749:49,"and, and you're not sure whether it will be any good ///OR/// not",,,,,,,,
74642:57,"it, unfortunately, it's a, and it's a business ///OR/// an occupation that the results are not as tangible as other ones",,,,,,,,
110391:68,"well, and i think a lot of companies are realizing this and offering more opportunities as far as like job sharing or, you know, even having a day care on site and that kind of stuff,",,,,,,,,
170660:30,"and that's happened to me more than once ///OR/// twice. jus-, just, just about every time i've went in somewhere.",,,,,,,,
100890:40,"and it, it seems in the last decade ///OR/// two, um, that's true,",,,,,,,,
55488:50,but i don't havef to be conscious of what i'm doing ///OR/// how i'm doing it.,,,,,,,,
161931:92,"i mean, i can't help but wonder if, if i grew up without a father, on the streets, and with like little ///OR/// no money, wouldn't wouldn't i be in prison at this point.",,,,,,,,
31336:20,can they convey the data verbally ///OR/// in writing.,,,,,,,,
139390:26,"and have, you know, like three ///OR/// four couples come over,",,,,,,,,
93126:89,"and i thought what are you complaining aboute, when you're only goingd to get picked up once a month, you know, ///OR/// once a week",,,,,,,,
150256:47,"and i don't know who looks forward to it more, the students ///OR/// the teachers and the staff.",,,,,,,,
49539:30,they're worse than american cars i think ///OR/// just as bad as far as resale goes.,,,,,,,,
150988:24,"but it's just whether the prosecutor ///OR/// the defense attorney feels like, you know,",,,,,,,,
18130:46,"well, uh, pretty much spent most of my time either in the yard ///OR/// at nurseries buying stuff for the yard.",,,,,,,,
27952:63,"if you were educated you got, you know, you might teach for a year ///OR/// two before you got married.",,,,,,,,
99233:24,"they put one on the parents, ///OR/// the teachers and say they have to, the men have to wear ties",,,,,,,,
139481:20,"and you can either microwave it ///OR/// do it in the oven,",,,,,,,,
156143:17,i also read one ///OR/// two papers a day,,,,,,,,
164419:42,"huh. do you think they should be punished at all, or, uh, like go to prison, uh,",,,,,,,,
118494:11,"uh, fortunately ///OR/// unfortunately it doesn't go into effect because we did not get the united airlines.",,,,,,,,
160728:37,"and also, you know, then you figure out seven ///OR/// eight percent for f i c a which is taxes where you,",,,,,,,,
59303:31,"and, if i'd of probably had three ///OR/// four children, i don't see how we could have made it, you know, without me working.",,,,,,,,
85664:16,get an extra bedroom ///OR/// a basement.,,,,,,,,
20446:21,"so if you pay your rent ///OR/// your house payment every two weeks, instead of once a month, you'll come out paying a, uh, one month extra every year.",,,,,,,,
113850:99,"if they were to take half of what they spend on that and put it on some economic, you know, inter-, intergovernmental ///OR/// inter united states like programs that one really might.",,,,,,,,
70127:16,that's the second ///OR/// third year in a row that we've had a real rainy spring.,,,,,,,,
46957:32,they're only going to make like three ///OR/// four thousand.,,,,,,,,
153451:44,"i guess i kind of do a similar thing. more, uh, medium ///OR/// longer range.",,,,,,,,
99180:110,"and, and in the winter, you know, i just add a, maybe wear longer sleeve shirts than i do in the summer. and add a heavier jacket or, you know, wear jackets more in the winter than i do in the summer.",,,,,,,,
56144:47,"just about anybody you could name, whether i voted for them ///OR/// not, uh, makes, um, uh, decisions that i just can't go along with.",,,,,,,,
25625:63,and never yet have i met anybody on the golf course that wouldn't allow me to join their twosome ///OR/// threesome.,,,,,,,,
173415:33,"and, uh, i think either send them home ///OR/// do something a little more interesting.",,,,,,,,
141145:35,that is why we only do it once every five ///OR/// ten years.,,,,,,,,
24941:98,"even though we've, uh, enjoyed very good employment here for the past ten years, now we got eight percent, uh, unemployment when it used to be four ///OR/// five.",,,,,,,,
24964:43,and the only school you could go toe was the baptist school ///OR/// the catholic school,,,,,,,,
73520:26,they are not all things to all people ///OR/// all children.,,,,,,,,
13410:53,"--n40098f being a professional and, of course, you probably belong to one ///OR/// more professional organizations,",,,,,,,,
2927:38,"rarely a day went by when the wind was less than fifteen ///OR/// twenty miles an hour. summer and winter,",,,,,,,,
162962:70,"and those three guys take the evidence, go off, figure it out and then come back and say whether you're guilty ///OR/// not.",,,,,,,,
126179:58,"i'm goingf to do it right, and see if i can actually play this game ///OR/// not.",,,,,,,,
61608:108,"and when he's not right at the door in the morning i really worry that something's happened to him, that somebody, he's got in a fight or, you know, somebody's hit him",,,,,,,,
84620:54,"and were they, uh, were they, were they obviously poor ///OR/// depri-, you know.",,,,,,,,
156906:44,"committing them mostly is, you know, either crimes of passion ///OR/// at the moment",,,,,,,,
134703:78,"and, uh, right now we're in a, uh, i guess it's either a zero lot line ///OR/// a garden home. which you might call it.",,,,,,,,
8889:22,i make a lot of afghans ///OR/// used to make a lot of them.,,,,,,,,
12200:93,"other than that i'm not sure what, what individuals can do other than like i said get involved through a group ///OR/// an organization.",,,,,,,,
156208:29,"but i swear it's at least second ///OR/// third grade, sometimes.",,,,,,,,
112417:64,my husband was saying that up north they have such nice restaurants where you can go after a theater ///OR/// after the movie.,,,,,,,,
151151:32,"oh, i thought it was just like marijuana ///OR/// cocaine.",,,,,,,,
144163:103,"you know, he doesn't have, they don't have to rely on him to score ev-, you know, thirty ///OR/// forty points at every at every game",,,,,,,,
50432:162,"it's, it's, uh, there, there is, there is, itf's an overall problem in, in, in this country understanding, uh, foreign cultures, ///OR/// even accepting them.",,,,,,,,
55495:27,and no one is staring at anybody else ///OR/// worrying about what anything else is doing.,,,,,,,,
57709:45,"the friend of ours over here, he's got, uh, sixty-five, ///OR/// sixty-six mustang the six cylinder.",,,,,,,,
6363:73,"it amazes me how much the, the costs are going to go up over the next ten ///OR/// fifteen years.",,,,,,,,
28255:99,"they're going to say to the kids you need do this, because it needs to be done not because it's a woman's job ///OR/// a man's job, but because it's dirty and it needs to be clean.",,,,,,,,
9346:23,"well i remember last year, ///OR/// the year before, uh, we had ice and snow, uh, uh,",,,,,,,,
13468:42,"they just, you know, start going through the phone book ///OR/// going through a series of numbers,",,,,,,,,
93546:68,"you, i mean, you can be as busy as you want to be, ///OR/// as laid back as you want to be.",,,,,,,,
14163:45,"they're, maybe they're a little more efficient, ///OR/// have more to do over that same time frame.",,,,,,,,
147141:84,"and, and there's this big debate apparently about whether the ozone, there's a hole in the ozone ///OR/// not",,,,,,,,
15207:70,"well, it sounded like, i mean, this is like major long term commitment, like a year ///OR/// six months,",,,,,,,,
76507:42,i'm not sure if it's more a problem with american families ///OR/// a problem with the school system.,,,,,,,,
69541:82,"and if, e-, even if, like you say, even if it's just the secretary, if her work ///OR/// abilities start affecting her co-workers then it, it's still a problem.",,,,,,,,
68173:145,"but, uh, i, i myself am in favor of it, uh, particularly for, uh, well i think texas has a good, good law. uh, crimes, murders related with, uh, drugs ///OR/// killing a policemen.",,,,,,,,
766:47,"and whether it, whether it won all kinds of awards ///OR/// whether it just was okay at the box office, i think he would have been happy.",,,,,,,,
106988:25,"do you, um, buy from dealers ///OR/// from individuals.",,,,,,,,
143238:29,"and so, uh, we really want four ///OR/// five bedroom house",,,,,,,,
47853:37,"i, most of my friends have three ///OR/// four kids",,,,,,,,
26390:57,"well, ford's done a real good job in the last, uh, say, ten years ///OR/// at least the last five to te-, six years, so, of really turning around their, um, quality, i think, um.",,,,,,,,
173724:140,"and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level ///OR/// bigger votes at the national level.",,,,,,,,
37711:31,when it startsa costing you fifty ///OR/// a hundred dollars to go to a game,,,,,,,,
2400:31,you could almost label everything quality in some sense ///OR/// other,,,,,,,,
108435:42,"we all kind of have our own little dress code of just either tennis shoes ///OR/// little loafers and, and, uh, tights, and things that feel comfortable to us around our kids.",,,,,,,,
1131:129,"are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded on a day-to-day basis ///OR/// either on a growing frequency.",,,,,,,,
130722:82,"but, uh, they have sort of like, uh, things that you c-, you're not like reimbursed ford ///OR/// paid for.",,,,,,,,
123561:35,i've never been a big saints fan until the last year ///OR/// two,,,,,,,,
129768:34,"i said if i knew beyond a doubt ///OR/// if i felt beyond a doubt that he had done it, yeah, i guess i could convict him,",,,,,,,,
18197:49,"um, where you live is there a real high, uh, alkaline ///OR/// ash content",,,,,,,,
13362:27,"uh, we've been doing this three ///OR/// four minutes.",,,,,,,,
156857:70,"uh, so do, do you think it's more important to spend money on research ///OR/// for support of, uh, people.",,,,,,,,
31526:59,"i mean, you don't know whether the person sitting next to you anywhere is on drugs ///OR/// not,",,,,,,,,
108876:46,"so i decided it had to be in it, informal ///OR/// not.",,,,,,,,
155799:32,a term limitation for congress would be like three terms ///OR/// even four terms,,,,,,,,
95853:89,"and, and i'm not sure but what some of the insurance claims aren't due to, uh, illnesses brought on by drug abuse ///OR/// alcohol abuse.",,,,,,,,
20080:60,"currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups ///OR/// from certain countries.",,,,,,,,
45097:54,"now some people object during primaries, having to declare a party, whether republican ///OR/// democrat",,,,,,,,
106206:40,i eat differently than what i could eat at home ///OR/// around here.,,,,,,,,
158308:59,"and this is supposed to be a very well-known center here in tyler who had two ///OR/// three, um, centers, all over, you know, the, um, city",,,,,,,,
159108:25,"you know juries will decide the guilt ///OR/// innocence,",,,,,,,,
75061:22,and now it's running ten ///OR/// fifteen minutes fast again.,,,,,,,,
140767:28,"uh, she can't hear worth a darn ///OR/// see very well,",,,,,,,,
20456:39,"my parents, uh, bought a home in san diego about four ///OR/// five years ago,",,,,,,,,
94821:71,"is it the, do you think it's the values that they're teaching in school ///OR/// the values they get from home.",,,,,,,,
162164:181,"but i think they're obliged to have these things because hertz and avis and those folks have it in their contract that they can sell it back to g m after, you know, it's, after they've used it for six months and put you know, twelve ///OR/// fifteen thousand miles, on it",,,,,,,,
98974:28,"when i only do something one, two ///OR/// three times i'm hardly an expert on it,",,,,,,,,
68148:38,"they just, uh, started it again, too just late, or, within the past few years.",,,,,,,,
78977:102,"so what do you think about, uh, what do you think about what you see on t v about them, like in the news ///OR/// on the ads,",,,,,,,,
163335:87,"uh, our policies and procedures manual, uh, the furthest it goes about drugs is in the, kind of the miscellaneous section, ///OR/// its reasons for immediate dismissal,",,,,,,,,
93046:25,"see, it have been like nineteen sixty-seven ///OR/// sixty-eight, um,",,,,,,,,
99865:30,"i was way out to the west maybe four ///OR/// five miles from, from the city limits",,,,,,,,
103454:53,they do what they call a salad sampler which easily could feed two ///OR/// three.,,,,,,,,
111042:70,"and it's just great because you can put, you know, you can decorate them up, ///OR/// dress them up, if you want,",,,,,,,,
26845:102,"and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that actually started the thing, ///OR/// was, you know, really interested in things like that.",,,,,,,,
98372:16,we will rent two ///OR/// three movies on thursday,,,,,,,,
99247:24,"i think the elementary school teachers, ///OR/// maybe even the middle school teachers dress a little fancier than, than some of the high school teachers, i think.",,,,,,,,
122805:19,"but there is usually two ///OR/// three days in the week that you can get out there and play,",,,,,,,,
1756:89,"the, the piece of music, the piece of music was about, i thinkf about forty ///OR/// fifty years old.",,,,,,,,
4758:85,"and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted, ///OR/// a gal is convicted, of a crime, rather than put them in prison, because prison's proven not to work, just let them go.",,,,,,,,
174107:42,"and there's always that, that chance that one ///OR/// two people could be playing devil's advocate for a good reason, you know.",,,,,,,,
146215:108,"but when i washed them, although i took the precaution of turning them inside out i really didn't do anything else. and truly, everything fell off, ///OR/// most of it.",,,,,,,,
68690:54,"mumblex, they don't want anyone with exper-, anyone with particular experience ///OR/// knowledge of the legal system.",,,,,,,,
170872:72,"uh, i think it's sort of the opposite of what you would want when you buy a car ///OR/// refrigerator something.",,,,,,,,
157037:38,"and why, does it just turn out to be genetic ///OR/// biochemical in origin.",,,,,,,,
127545:21,"and i'd ride about two ///OR/// three miles a day,",,,,,,,,
55886:44,"since we live here and we all benefit, rich, poor ///OR/// in between, uh, there are benefits even for those whof have it the hardest.",,,,,,,,
143249:92,"and you can cut, you know, the listings, uh, in about a third when you go from three to four bedrooms you know, ///OR/// five.",,,,,,,,
