TGrepID	EntireSentence	BestResponse
119572:54	i said, well, i can tell them how to fish with a minnow or how to fish with a worm.	i said, well, i can tell them how to fish with a minnow  or how to fish with a worm but not both .
25318:34	i don't like it when it's too cool or too warm.	i don't like it when it's too cool or too warm but not both .
105161:44	and how can a country stand to, uh, spend as much or much more than they already are on such a problem, uh,	and how can a country stand  to, uh, spend as much or much more than they already are on such a problem but not both , uh,
35001:135	i, i have a hard time sticking with something like, like on t v, because, it, like, it gets real aggravating if you miss it, for a week or two.	i, i have a hard time  sticking with something like, like on t v, because, it, like, it gets real aggravating if you miss it, for a week or two but not both.
81053:30	it's not as slanted as the new york times or as biased perhaps as the local paper.	it's not as slanted as the new york times or as biased perhaps as the local paper but not both.
85435:43	so we really don't know whether there's enough fossil fuel left or there isn't,	so we really don't know whether there's enough fossil fuel left or there isn't but not both,
17349:18	they do kind of follow or, are similar.	they do kind of follow or, are similar but not both.
20556:19	she was there for two or three years before we got marriede.	she was there for two or three but not both years before we got married .
171264:74	well if you drag twelve people into a courtroom, i trust them to make the right decision as to whether someone's guilty or innocent.	well if you drag twelve people into a courtroom, i trust them to make the right decision as to whether someone's guilty or innocent but not both.
19079:83	and so i-, it's a real difficult choice whether we want styrofoam cups to fill up our landfills or, uh, china cups to use up our waterf.	and so i-, it 's a real difficult choice whether we want styrofoam cups to fill up our landfills  or, uh, china cups but not both to use up our water .
61667:103	but if you want him to be and he doesn't want to be, he'll just, he'll, you know either scratch you or run away.	but if you want him to be and he doesn't want  to be, he'll just, he'll, you know either scratch you or run away but not both.
14639:25	but, um, they have about four or five different prices now, that they're structuring it with,	but, um, they have about four or five but not both different prices  now, that they're structuring it with ,
112125:26	and i was just seeing in the newspaper or the grocery store that some miss america was abused by the man she loved	and i was just seeing in the newspaper or the grocery store but not both that some miss america was abused  by the man she loved
95657:81	i, i especially agree that if it's an area where they could cause somebody else, you know harm or injury, absolutely.	i, i especially agree that if it's an area where they could cause somebody else, you know harm or injury but not both , absolutely.
46484:121	but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go by yourself at night, i'd have to set them down for about five or ten minutes to list all the places out.	but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go  by yourself at night, i'd have  to set them down for about five or ten minutes but not both  to list all the places out.
166786:69	because i think what they often get used asc is, uh, almost like a very high level or long-term care for, uh, similar to a hospital.	because i think what they often get used  as  is, uh, almost like a very high level or long-term care but not both for, uh, similar to a hospital.
49324:208	on a, on a, on a, what we would, you know, what you described as your house and what i would describe as my house say, for example, in pensacola, florida, on that house with the homestead exemption and so forth and so on, might pay three or four hundred dollars a year taxes.	on a, on a, on a, what we would, you know, what you described  as your house and what i would describe  as my house say, for example, in pensacola, florida, on that house with the homestead exemption and so forth and so on, might pay three or four hundred dollars a year taxes but not both.
24636:108	well, does your, the company say, for instance, does the company you worked for bef-, before have the right or do they have the ability to say, hey, we've already drug tested her	well, does your, the company say, for instance, does the company you worked for  bef-, before have the right  or do they have the ability but not both  to say, hey, we've already drug tested her
80782:52	well i was going to ask if you planned to paint over it or try to strip it.	well i was going  to ask if you planned  to paint over it or try  to strip it but not both.
57920:78	and i, i agree with you also, that i feel like it was not worth the money spent or the lives lost to fight that war.	and i, i agree with you also, that i feel like it  was not worth the money spent or the lives lost to fight that war but not both.
81749:49	and, and you're not sure whether it will be any good or not	and, and you're not sure whether it will be any good or not but not both.
74642:57	it, unfortunately, it's a, and it's a business or an occupation that the results are not as tangible as other ones	it, unfortunately, it's a, and it's a business or an occupation but not both that the results are not as tangible as other ones
110391:68	well, and i think a lot of companies are realizing this and offering more opportunities as far as like job sharing or, you know, even having a day care on site and that kind of stuff,	well, and i think a lot of companies are realizing this and offering more opportunities as far as like job sharing or, you know, even having a day care on site but not both and that kind of stuff,
170660:30	and that's happened to me more than once or twice. jus-, just, just about every time i've went in somewhere.	and that's happened to me more than once or twice. but not both jus-, just, just about every time i've went in somewhere .
100890:40	and it, it seems in the last decade or two, um, that's true,	and it, it seems in the last decade or two but not both, um, that's true,
55488:50	but i don't havef to be conscious of what i'm doing or how i'm doing it.	but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .
161931:92	i mean, i can't help but wonder if, if i grew up without a father, on the streets, and with like little or no money, wouldn't wouldn't i be in prison at this point.	i mean, i can't help but wonder if, if i grew up without a father, on the streets, and with like little or no money but not both, wouldn't wouldn't i be in prison at this point.
31336:20	can they convey the data verbally or in writing.	can they convey the data verbally or in writing but not both.
139390:26	and have, you know, like three or four couples come over,	and have, you know, like three or four but not both couples come over,
93126:89	and i thought what are you complaining aboute, when you're only goingd to get picked up once a month, you know, or once a week	and i thought what are you complaining about , when you're only going  to get picked  up once a month, you know, or once a week but not both.
150256:47	and i don't know who looks forward to it more, the students or the teachers and the staff.	and i don't know who  looks forward to it more, the students or the teachers and the staff but not both.
49539:30	they're worse than american cars i think or just as bad as far as resale goes.	they're worse than american cars i think or just as bad as far as resale goes but not both.
150988:24	but it's just whether the prosecutor or the defense attorney feels like, you know,	but it's just whether the prosecutor or the defense attorney feels like, you know but not both,
18130:46	well, uh, pretty much spent most of my time either in the yard or at nurseries buying stuff for the yard.	well, uh, pretty much spent most of my time either in the yard or at nurseries  buying stuff for the yard but not both.
27952:63	if you were educated you got, you know, you might teach for a year or two before you got married.	if you were educated you got, you know, you might teach for a year or two but not both before you got married .
99233:24	they put one on the parents, or the teachers and say they have to, the men have to wear ties	they put one on the parents, or the teachers but not both and say they have  to, the men have  to wear ties
139481:20	and you can either microwave it or do it in the oven,	and you can either microwave it or do it in the oven but not both,
156143:17	i also read one or two papers a day	i also read one or two papers a day but not both.
164419:42	huh. do you think they should be punished at all, or, uh, like go to prison, uh,	huh. do you think they should be punished  at all, or, uh, like go to prison, uh but not both,
118494:11	uh, fortunately or unfortunately it doesn't go into effect because we did not get the united airlines.	uh, fortunately or unfortunately but not both it doesn't go into effect because we did not get the united airlines.
160728:37	and also, you know, then you figure out seven or eight percent for f i c a which is taxes where you,	and also, you know, then you figure out seven or eight percent but not both for f i c a which  is taxes where you,
59303:31	and, if i'd of probably had three or four children, i don't see how we could have made it, you know, without me working.	and, if i'd of probably had three or four children, i don't see how  we could have made it, you know, without me working but not both .
85664:16	get an extra bedroom or a basement.	get an extra bedroom or a basement but not both.
20446:21	so if you pay your rent or your house payment every two weeks, instead of once a month, you'll come out paying a, uh, one month extra every year.	so if you pay your rent or your house payment every two weeks but not both, instead of once a month, you'll come out  paying a, uh, one month extra every year.
113850:99	if they were to take half of what they spend on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs that one really might.	if they were  to take half of what they spend  on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs but not both that one really might.
70127:16	that's the second or third year in a row that we've had a real rainy spring.	that's the second or third year in a row but not both that we've had a real rainy spring .
46957:32	they're only going to make like three or four thousand.	they're only going  to make like three or four thousand but not both.
153451:44	i guess i kind of do a similar thing. more, uh, medium or longer range.	i guess i kind of do a similar thing. more, uh, medium or longer range but not both.
99180:110	and, and in the winter, you know, i just add a, maybe wear longer sleeve shirts than i do in the summer. and add a heavier jacket or, you know, wear jackets more in the winter than i do in the summer.	and, and in the winter, you know, i just add a, maybe wear longer sleeve shirts than i do in the summer. and add a heavier jacket or, you know, wear jackets more  in the winter than i do in the summer but not both.
56144:47	just about anybody you could name, whether i voted for them or not, uh, makes, um, uh, decisions that i just can't go along with.	just about anybody you could name , whether i voted for them or not but not both, uh, makes, um, uh, decisions that i just can't go along with .
25625:63	and never yet have i met anybody on the golf course that wouldn't allow me to join their twosome or threesome.	and never yet have i met anybody on the golf course that  wouldn't allow me to join their twosome or threesome but not both.
173415:33	and, uh, i think either send them home or do something a little more interesting.	and, uh, i think either send them home or do something a little more interesting but not both.
141145:35	that is why we only do it once every five or ten years.	that is why we only do it once every five or ten years but not both .
24941:98	even though we've, uh, enjoyed very good employment here for the past ten years, now we got eight percent, uh, unemployment when it used to be four or five.	even though we've, uh, enjoyed very good employment here for the past ten years, now we got eight percent, uh, unemployment when it used  to be four or five but not both .
24964:43	and the only school you could go toe was the baptist school or the catholic school	and the only school you could go to  was the baptist school or the catholic school but not both.
73520:26	they are not all things to all people or all children.	they are not all things to all people or all children but not both.
13410:53	--n40098f being a professional and, of course, you probably belong to one or more professional organizations,	being a professional and, of course, you probably belong to one or more but not both professional organizations,
2927:38	rarely a day went by when the wind was less than fifteen or twenty miles an hour. summer and winter,	rarely a day went by when the wind was less than fifteen or twenty miles an hour but not both . summer and winter,
162962:70	and those three guys take the evidence, go off, figure it out and then come back and say whether you're guilty or not.	and those three guys take the evidence, go off, figure it out and then come back and say whether you're guilty or not but not both.
126179:58	i'm goingf to do it right, and see if i can actually play this game or not.	i'm going  to do it right, and see if i can actually play this game or not but not both.
61608:108	and when he's not right at the door in the morning i really worry that something's happened to him, that somebody, he's got in a fight or, you know, somebody's hit him	and when he's not right at the door in the morning  i really worry that something's happened to him, that somebody, he's got in a fight or, you know, somebody's hit him but not both.
84620:54	and were they, uh, were they, were they obviously poor or depri-, you know.	and were they, uh, were they, were they obviously poor or depri- but not both, you know.
156906:44	committing them mostly is, you know, either crimes of passion or at the moment	committing them mostly is, you know, either crimes of passion or at the moment but not both.
134703:78	and, uh, right now we're in a, uh, i guess it's either a zero lot line or a garden home. which you might call it.	and, uh, right now we're in a, uh, i guess it's  either a zero lot line or a garden home. which you might call it but not both .
8889:22	i make a lot of afghans or used to make a lot of them.	i make a lot of afghans or used  to make a lot of them but not both.
12200:93	other than that i'm not sure what, what individuals can do other than like i said get involved through a group or an organization.	other than that i'm not sure what, what individuals can do  other than like i said  get involved  through a group or an organization but not both.
156208:29	but i swear it's at least second or third grade, sometimes.	but i swear it's at least second or third grade but not both, sometimes.
112417:64	my husband was saying that up north they have such nice restaurants where you can go after a theater or after the movie.	my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.
151151:32	oh, i thought it was just like marijuana or cocaine.	oh, i thought it was just like marijuana or cocaine but not both.
144163:103	you know, he doesn't have, they don't have to rely on him to score ev-, you know, thirty or forty points at every at every game	you know, he doesn't have, they don't have  to rely on him  to score ev-, you know, thirty or forty points at every at every game but not both.
50432:162	it's, it's, uh, there, there is, there is, itf's an overall problem in, in, in this country understanding, uh, foreign cultures, or even accepting them.	it's, it's, uh, there, there is, there is, it 's an overall problem in, in, in this country understanding, uh, foreign cultures, or even accepting them but not both.
55495:27	and no one is staring at anybody else or worrying about what anything else is doing.	and no one is staring at anybody else or worrying but not both about what anything else is doing .
57709:45	the friend of ours over here, he's got, uh, sixty-five, or sixty-six mustang the six cylinder.	the friend of ours over here, he's got, uh, sixty-five, or sixty-six but not both mustang the six cylinder.
6363:73	it amazes me how much the, the costs are going to go up over the next ten or fifteen years.	it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .
28255:99	they're going to say to the kids you need do this, because it needs to be done not because it's a woman's job or a man's job, but because it's dirty and it needs to be clean.	they're going  to say to the kids you need  do this, because it needs  to be done  not because it's a woman's job or a man's job but not both, but because it's dirty and it needs  to be clean.
9346:23	well i remember last year, or the year before, uh, we had ice and snow, uh, uh,	well i remember last year, or the year before, but not both, uh, we had ice and snow, uh, uh,
13468:42	they just, you know, start going through the phone book or going through a series of numbers,	they just, you know, start  going through the phone book or going through a series of numbers but not both,
93546:68	you, i mean, you can be as busy as you want to be, or as laid back as you want to be.	you, i mean, you can be as busy as you want  to be, or as laid back as you want  to be but not both.
14163:45	they're, maybe they're a little more efficient, or have more to do over that same time frame.	they're, maybe they're a little more efficient, or have more to do  over that same time frame but not both.
147141:84	and, and there's this big debate apparently about whether the ozone, there's a hole in the ozone or not	and, and there's this big debate  apparently about whether the ozone, there's a hole in the ozone or not but not both.
15207:70	well, it sounded like, i mean, this is like major long term commitment, like a year or six months,	well, it sounded like, i mean, this is like major long term commitment, like a year or six months but not both,
76507:42	i'm not sure if it's more a problem with american families or a problem with the school system.	i'm not sure if it's more a problem with american families or a problem with the school system but not both.
69541:82	and if, e-, even if, like you say, even if it's just the secretary, if her work or abilities start affecting her co-workers then it, it's still a problem.	and if, e-, even if, like you say, even if it's just the secretary, if her work or abilities but not both start  affecting her co-workers then it, it's still a problem.
68173:145	but, uh, i, i myself am in favor of it, uh, particularly for, uh, well i think texas has a good, good law. uh, crimes, murders related with, uh, drugs or killing a policemen.	but, uh, i, i myself am in favor of it, uh, particularly for, uh, well i think texas has a good, good law. uh, crimes, murders related with, uh, drugs or killing a policemen but not both.
766:47	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.	and whether it, whether it won all kinds of awards or whether it just was okay at the box office but not both, i think he would have been happy.
106988:25	do you, um, buy from dealers or from individuals.	do you, um, buy from dealers or from individuals but not both.
143238:29	and so, uh, we really want four or five bedroom house	and so, uh, we really want four or five bedroom house but not both.
47853:37	i, most of my friends have three or four kids	i, most of my friends have three or four kids but not both.
26390:57	well, ford's done a real good job in the last, uh, say, ten years or at least the last five to te-, six years, so, of really turning around their, um, quality, i think, um.	well, ford's done a real good job  in the last, uh, say, ten years or at least the last five to te-, six years but not both, so, of  really turning around their, um, quality, i think , um.
173724:140	and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level.	and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level but not both.
37711:31	when it startsa costing you fifty or a hundred dollars to go to a game	when it  starts  costing you fifty or a hundred dollars but not both to go to a game
2400:31	you could almost label everything quality in some sense or other	you could almost label everything quality in some sense or other but not both.
108435:42	we all kind of have our own little dress code of just either tennis shoes or little loafers and, and, uh, tights, and things that feel comfortable to us around our kids.	we all kind of have our own little dress code of just either tennis shoes or little loafers but not both and, and, uh, tights, and things that  feel comfortable to us around our kids.
1131:129	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded on a day-to-day basis or either on a growing frequency.	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded  on a day-to-day basis or either on a growing frequency but not both .
130722:82	but, uh, they have sort of like, uh, things that you c-, you're not like reimbursed ford or paid for.	but, uh, they have sort of like, uh, things that you c-, you're not like reimbursed for  or paid for but not both .
123561:35	i've never been a big saints fan until the last year or two	i've never been a big saints fan until the last year or two but not both.
129768:34	i said if i knew beyond a doubt or if i felt beyond a doubt that he had done it, yeah, i guess i could convict him,	i said if i knew beyond a doubt  or if i felt beyond a doubt but not both  that he had done it, yeah, i guess i could convict him,
18197:49	um, where you live is there a real high, uh, alkaline or ash content	um, where you live  is there a real high, uh, alkaline  or ash  content but not both.
13362:27	uh, we've been doing this three or four minutes.	uh, we've been doing this three or four minutes but not both.
156857:70	uh, so do, do you think it's more important to spend money on research or for support of, uh, people.	uh, so do, do you think it 's more important to spend money on research or for support but not both of, uh, people.
31526:59	i mean, you don't know whether the person sitting next to you anywhere is on drugs or not,	i mean, you don't know whether the person sitting next to you anywhere is on drugs or not but not both,
108876:46	so i decided it had to be in it, informal or not.	so i decided it had  to be in it,  informal or not but not both.
155799:32	a term limitation for congress would be like three terms or even four terms	a term limitation for congress would be like three terms or even four terms but not both.
95853:89	and, and i'm not sure but what some of the insurance claims aren't due to, uh, illnesses brought on by drug abuse or alcohol abuse.	and, and i'm not sure but what some of the insurance claims aren't due to, uh, illnesses brought on by drug abuse or alcohol abuse but not both.
20080:60	currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries.	currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries but not both.
45097:54	now some people object during primaries, having to declare a party, whether republican or democrat	now some people object during primaries,  having  to declare a party, whether republican or democrat but not both.
106206:40	i eat differently than what i could eat at home or around here.	i eat differently than what i could eat  at home or around here but not both.
158308:59	and this is supposed to be a very well-known center here in tyler who had two or three, um, centers, all over, you know, the, um, city	and this is supposed  to be a very well-known center here in tyler who  had two or three but not both, um, centers, all over, you know, the, um, city
159108:25	you know juries will decide the guilt or innocence,	you know juries will decide the guilt or innocence but not both,
75061:22	and now it's running ten or fifteen minutes fast again.	and now it's running ten or fifteen minutes fast again but not both.
140767:28	uh, she can't hear worth a darn or see very well,	uh, she can't hear worth a darn or see very well but not both,
20456:39	my parents, uh, bought a home in san diego about four or five years ago,	my parents, uh, bought a home in san diego about four or five but not both years ago,
94821:71	is it the, do you think it's the values that they're teaching in school or the values they get from home.	is it the, do you think it's the values that they're teaching  in school or the values they get  from home but not both.
162164:181	but i think they're obliged to have these things because hertz and avis and those folks have it in their contract that they can sell it back to g m after, you know, it's, after they've used it for six months and put you know, twelve or fifteen thousand miles, on it	but i think they're obliged  to have these things because hertz and avis and those folks have it  in their contract that they can sell it back to g m after, you know, it's, after they've used it for six months and put you know, twelve or fifteen thousand miles, on it but not both.
98974:28	when i only do something one, two or three times i'm hardly an expert on it,	when i only do something one, two or three times but not both  i'm hardly an expert on it,
68148:38	they just, uh, started it again, too just late, or, within the past few years.	they just, uh, started it again, too just late, or, within the past few years but not both.
78977:102	so what do you think about, uh, what do you think about what you see on t v about them, like in the news or on the ads,	so what do you think  about, uh, what do you think  about what you see  on t v about them, like in the news or on the ads but not both,
163335:87	uh, our policies and procedures manual, uh, the furthest it goes about drugs is in the, kind of the miscellaneous section, or its reasons for immediate dismissal,	uh, our policies and procedures manual, uh, the furthest it goes  about drugs is in the, kind of the miscellaneous section, or its reasons for immediate dismissal but not both,
93046:25	see, it have been like nineteen sixty-seven or sixty-eight, um,	see, it have been like nineteen sixty-seven or sixty-eight, but not both, um,
99865:30	i was way out to the west maybe four or five miles from, from the city limits	i was way out to the west maybe four or five miles but not both from, from the city limits
103454:53	they do what they call a salad sampler which easily could feed two or three.	they do what they call  a salad sampler which  easily could feed two or three but not both.
111042:70	and it's just great because you can put, you know, you can decorate them up, or dress them up, if you want,	and it's just great because you can put, you know, you can decorate them up, or dress them up, if you want but not both,
26845:102	and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that actually started the thing, or was, you know, really interested in things like that.	and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that  actually started the thing, or was but not both, you know, really interested in things like that.
98372:16	we will rent two or three movies on thursday	we will rent two or three movies but not both on thursday
99247:24	i think the elementary school teachers, or maybe even the middle school teachers dress a little fancier than, than some of the high school teachers, i think.	i think the elementary school teachers, or maybe even the middle school teachers but not both dress a little fancier than, than some of the high school teachers, i think.
122805:19	but there is usually two or three days in the week that you can get out there and play,	but there is usually two or three days in the week that you can get out there and play but not both ,
1756:89	the, the piece of music, the piece of music was about, i thinkf about forty or fifty years old.	the, the piece of music, the piece of music was about, i think  about forty or fifty years old but not both.
4758:85	and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted, or a gal is convicted, of a crime, rather than put them in prison, because prison's proven not to work, just let them go.	and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted , or a gal is convicted but not both , of a crime, rather than put them in prison, because prison's proven  not to work, just let them go.
174107:42	and there's always that, that chance that one or two people could be playing devil's advocate for a good reason, you know.	and there's always that, that chance that one or two people but not both could be playing devil's advocate for a good reason, you know.
146215:108	but when i washed them, although i took the precaution of turning them inside out i really didn't do anything else. and truly, everything fell off, or most of it.	but when i washed them , although i took the precaution of  turning them inside out i really didn't do anything else. and truly, everything  fell off, or most of it but not both.
68690:54	mumblex, they don't want anyone with exper-, anyone with particular experience or knowledge of the legal system.	mumblex, they don't want anyone with exper-, anyone with particular experience or knowledge but not both of the legal system.
170872:72	uh, i think it's sort of the opposite of what you would want when you buy a car or refrigerator something.	uh, i think it's sort of the opposite of what you would want  when you buy a car or refrigerator something but not both .
157037:38	and why, does it just turn out to be genetic or biochemical in origin.	and why, does it just turn out  to be genetic or biochemical but not both in origin .
127545:21	and i'd ride about two or three miles a day,	and i'd ride about two or three miles a day but not both,
55886:44	since we live here and we all benefit, rich, poor or in between, uh, there are benefits even for those whof have it the hardest.	since we live here and we all  benefit, rich, poor or in between but not both, uh, there are benefits even for those who  have it the hardest.
143249:92	and you can cut, you know, the listings, uh, in about a third when you go from three to four bedrooms you know, or five.	and you can cut, you know, the listings, uh, in about a third when you go from three to four bedrooms   you know, or five but not both.
37011:85	but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power,	but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power but not both,
110794:66	even though teachers have other kids lives in their hands, and if they come in stoned or they come in drunk	even though teachers have other kids lives in their hands, and if they come in  stoned or they come in  drunk but not both.
94572:24	i think normal's about sixty or seventy.	i think normal's about sixty or seventy but not both.
91185:89	but some of the, uh, the small, some of the larger small schools, you know, i guess around three or four thousand students have a, can offer a broader range of curriculums and things,	but some of the, uh, the small, some of the larger small schools, you know, i guess around three or four thousand students have a, can offer a broader range of curriculums and things but not both,
119672:89	and i, well, i can't think of a time that i've been fishing that i haven't run into one or two of them.	and i, well, i can't think of a time that i've been fishing  that i haven't run into one or two but not both of them .
163866:106	what's more likely to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car theft, you know, it, things of that nature.	what 's more likely  to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car theft but not both, you know, it, things of that nature.
43216:36	and we got rid of them, believe it or not, with smoke bombs, which is just about impossible to do,	and we got rid  of them, believe it or not, with smoke bombs, which  is just about impossible to do but not both ,
91064:123	they had chosen santa barbara, california for this summer and, and did not get enough people that were willing to go that far, because most of us live either in the midwest, or like in the texas, oklahoma area.	they had chosen santa barbara, california for this summer and, and did not get enough people that  were willing  to go that far, because most of us live either in the midwest, or like in the texas, oklahoma area but not both.
66190:44	so i thought, man, i don't know if i trust this or not.	so i thought, man, i don't know if i trust this or not but not both.
79227:23	and if they don't say yes or no, then maybe somebodye will vote for them that wouldn't have if they had come down on the wrong side.	and if they don't say yes or no but not both, then maybe somebody  will vote for them that  wouldn't have if they had come down on the wrong side.
14875:209	but the guy at the very top, the one who's, whoc's really making the millions and the millions is the one who also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis in some other direction, other than on the drug dealing,	but the guy at the very top, the one who 's, who 's really making the millions and the millions is the one who  also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis but not both in some other direction, other than on the drug dealing,
138283:70	and it's kind of, uh, hard to get, uh, shop space unless you have a dedicated shop or a dedicated room for that.	and it 's kind of, uh, hard to get, uh, shop space unless you have a dedicated shop or a dedicated room but not both for that.
11792:29	but, uh, i have some question, whether or not they will ever really get around to that.	but, uh, i have some question, whether or not they will ever really get around to that but not both.
163053:76	now, if he comes in and says, you know, i'll repair your, your v c r, or somebody else's v c r, for a hundred dollars, gets in there, maybe it's a blown fuse,	now, if he comes in and says, you know, i'll repair your, your v c r, or somebody else's v c r but not both, for a hundred dollars, gets in there, maybe it's a blown fuse,
144197:16	and they traded either richmond or hardaway to sacramento for billy owens	and they traded either richmond or hardaway but not both to sacramento for billy owens
118424:62	and altog-, all total, it was just under two hundred dollars, believe it or not, to get all that done.	and altog-, all total, it  was just under two hundred dollars, believe it or not, to get all that done but not both .
74280:75	and you can't make up in a classroom of one hour a day, what's not been doned for, fifteen or sixteen years at home,	and you can't make up in a classroom of one hour a day, what 's not been done  for, fifteen or sixteen but not both years at home,
8419:45	well, have you any plans to, uh, maybe, uh, expand or move onward.	well, have you any plans to, uh, maybe, uh, expand or move onward but not both.
39108:72	i never have tried that, just because i don't have that much space on this little porch here in this apartment or this little balcony.	i never have tried that, just because i don't have that much space on this little porch  here in this apartment or this little balcony but not both.
164502:39	i, i'm in washington, d c or at least very close to it.	i, i'm in washington, d c or at least very close to it but not both.
82982:71	and, and, you think, if i wasn't here he'd be learning that from a baby-sitter or from a day care.	and, and, you think, if i wasn't here he'd be learning that from a baby-sitter or from a day care but not both.
55620:26	because no matter what i did or how i did it, i invariably got myself wet.	because no matter what i did  or how i did it but not both , i invariably got myself wet.
166916:31	during the trial as to whether they're guilty or not has nothing to do with their background.	during the trial as to whether they're guilty or not but not both has nothing to do  with their background.
41706:73	because maybe they, those are not the clothes that are the most, uh, appealing to you, or the most, uh, complimentary to you.	because maybe they, those are not the clothes that  are the most, uh, appealing to you, or the most, uh, complimentary to you but not both.
89923:105	they, they show very well un-, they show very well unless you have, you know, lived in a lot of houses around the area, or looked at a lot of houses around here.	they, they show very well un-, they show very well unless you have, you know, lived in a lot of houses around the area, or looked at a lot of houses around here but not both.
59994:62	we're just not willing to set a society not willing to spend the time or the money to do what it takes,	we're just not willing to set a society not willing to spend the time or the money but not both to do what it takes ,
174072:59	uh, i guess the topic is trial by jury and how we should change that or how we would change it.	uh, i guess the topic is trial by jury and how we should change that  or how we would change it but not both .
57651:59	i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that were not gas guzzlers	i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that  were not gas guzzlers but not both.
121100:87	and the next spring, i guess in that march, every time we would go out and just try to walk on the grass or reach down to pull a weed, we'd have big whole patches come up.	and the next spring, i guess  in that march, every time we would go out and just try  to walk on the grass or reach down  to pull a weed but not both , we'd have big whole patches come up.
15229:24	i couldn't possibly commit a year or two of my life to, to go do something.	i couldn't possibly commit a year or two of my life  to, to go  do something but not both.
47484:42	but i don't even know if they're still new york yankees, or mumblex new jersey.	but i don't even know if they're still new york yankees, or mumblex new jersey but not both.
20160:209	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i thinkb it, it would bring in a lot of, uh, people that are, run out of other countries or in trouble in, in other countries.	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i think  it, it would bring in a lot of, uh, people that  are, run  out of other countries or in trouble in but not both, in other countries.
72646:93	i let papers, newspapers stack up and magazines stack up, if i don't really set aside a time to look or read them.	i let papers, newspapers stack up and magazines stack up, if i don't really set aside a time to look or read them but not both .
100564:48	and, uh, you know the type of facilities whether it's a shared room or two separate rooms that share uh, a, uh, bathroom.	and, uh, you know the type of facilities whether it's a shared room or two separate rooms but not both that  share uh, a, uh, bathroom.
156479:48	i, i don't trust myself with using a calculator or computer, y-, too much stuff like that because i want to make sure that, that i, i keep on top of the numbers and understand what's going on.	i, i don't trust myself with  using a calculator or computer, y-, too much stuff like that because i want  to make sure that, that i, i keep on top of the numbers and understand what 's going on but not both.
127793:67	and it goes into all the movies,e previewing the movies that are going to be released or behind the scenes.	and it goes into all the movies,  previewing the movies that  are going  to be released  or behind the scenes but not both.
160808:39	i mean, i just read something that, two thirds or three quarters, i'm not exactly sure of our national debt are, was created during the reagan bushe era whod are suppo-, supposedly fiscally conservative.	i mean, i just read something that, two thirds or three quarters but not both, i'm not exactly sure of our national debt are, was created  during the reagan bush  era who  are suppo-, supposedly fiscally conservative.
21053:31	and i watched that for like, oh, ten or fifteen straight years,	and i watched that for like, oh, ten or fifteen straight years but not both,
52433:93	he, he happens to be, uh, a friend of one of her, her business associates. and, or, not, not a friend, a cousin, a cousin.	he, he happens  to be, uh, a friend of one of her, her business associates. and, or, not, not a friend, a cousin, a cousin but not both.
152475:203	i, uh, i think there is more of an ability of you know, you know for selecting a jury, two different juries that would most of the time come up with the same idea, uh, the same idea versus you know whether he is guilty or innocent	i, uh, i think there is more of an ability of you know, you know for selecting a jury, two different juries that  would most of the time come up with the same idea, uh, the same idea versus you know whether he is guilty or innocent but not both.
147719:68	is it p-, do you think it's possible to have honesty in government or an honest government.	is it p-, do you think it 's possible to have honesty in government or an honest government but not both.
