TGrepID	EntireSentence	BNBClosestToOr	ComparisonSentence
81053:30	it's not as slanted as the new york times or as biased perhaps as the local paper.	it's not as slanted as the new york times or as biased but not both perhaps as the local paper.	it's not as slanted as the new york times or as biased perhaps as the local paper but not both.
20556:19	she was there for two or three years before we got marriede.	she was there for two or three but not both years before we got married .	she was there for two or three years before we got married but not both .
19079:83	and so i-, it's a real difficult choice whether we want styrofoam cups to fill up our landfills or, uh, china cups to use up our waterf.	and so i-, it 's a real difficult choice whether we want styrofoam cups to fill up our landfills  or, uh, china cups but not both to use up our water .	and so i-, it 's a real difficult choice whether we want styrofoam cups to fill up our landfills  or, uh, china cups to use up our water but not both .
14639:25	but, um, they have about four or five different prices now, that they're structuring it with,	but, um, they have about four or five but not both different prices  now, that they're structuring it with ,	but, um, they have about four or five different prices  now but not both, that they're structuring it with ,
46484:121	but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go by yourself at night, i'd have to set them down for about five or ten minutes to list all the places out.	but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go  by yourself at night, i'd have  to set them down for about five or ten but not both minutes  to list all the places out.	but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go  by yourself at night, i'd have  to set them down for about five or ten minutes but not both  to list all the places out.
49324:208	on a, on a, on a, what we would, you know, what you described as your house and what i would describe as my house say, for example, in pensacola, florida, on that house with the homestead exemption and so forth and so on, might pay three or four hundred dollars a year taxes.	on a, on a, on a, what we would, you know, what you described  as your house and what i would describe  as my house say, for example, in pensacola, florida, on that house with the homestead exemption and so forth and so on, might pay three or four but not both hundred dollars a year taxes.	on a, on a, on a, what we would, you know, what you described  as your house and what i would describe  as my house say, for example, in pensacola, florida, on that house with the homestead exemption and so forth and so on, might pay three or four hundred dollars a year taxes but not both.
57920:78	and i, i agree with you also, that i feel like it was not worth the money spent or the lives lost to fight that war.	and i, i agree with you also, that i feel like it  was not worth the money spent or the lives lost but not both to fight that war.	and i, i agree with you also, that i feel like it  was not worth the money spent or the lives lost to fight that war but not both.
139390:26	and have, you know, like three or four couples come over,	and have, you know, like three or four but not both couples come over,	and have, you know, like three or four couples come over but not both,
93126:89	and i thought what are you complaining aboute, when you're only goingd to get picked up once a month, you know, or once a week	and i thought what are you complaining about , when you're only going  to get picked  up once a month, you know, or once a but not both week	and i thought what are you complaining about , when you're only going  to get picked  up once a month, you know, or once a week but not both.
150256:47	and i don't know who looks forward to it more, the students or the teachers and the staff.	and i don't know who  looks forward to it more, the students or the but not both teachers and the staff.	and i don't know who  looks forward to it more, the students or the teachers and the staff but not both.
49539:30	they're worse than american cars i think or just as bad as far as resale goes.	they're worse than american cars i think or just but not both as bad as far as resale goes.	they're worse than american cars i think or just as bad as far as resale goes but not both.
150988:24	but it's just whether the prosecutor or the defense attorney feels like, you know,	but it's just whether the prosecutor or the defense but not both attorney feels like, you know,	but it's just whether the prosecutor or the defense attorney feels like, you know but not both,
18130:46	well, uh, pretty much spent most of my time either in the yard or at nurseries buying stuff for the yard.	well, uh, pretty much spent most of my time either in the yard or at but not both nurseries  buying stuff for the yard.	well, uh, pretty much spent most of my time either in the yard or at nurseries  buying stuff for the yard but not both.
27952:63	if you were educated you got, you know, you might teach for a year or two before you got married.	if you were educated you got, you know, you might teach for a year or two but not both before you got married .	if you were educated you got, you know, you might teach for a year or two before you got married but not both .
139481:20	and you can either microwave it or do it in the oven,	and you can either microwave it or do but not both it in the oven,	and you can either microwave it or do it in the oven but not both,
156143:17	i also read one or two papers a day	i also read one or two papers but not both a day	i also read one or two papers a day but not both.
164419:42	huh. do you think they should be punished at all, or, uh, like go to prison, uh,	huh. do you think they should be punished  at all, or, uh, like go but not both to prison, uh,	huh. do you think they should be punished  at all, or, uh, like go to prison, uh but not both,
160728:37	and also, you know, then you figure out seven or eight percent for f i c a which is taxes where you,	and also, you know, then you figure out seven or eight but not both percent for f i c a which  is taxes where you,	and also, you know, then you figure out seven or eight percent but not both for f i c a which  is taxes where you,
59303:31	and, if i'd of probably had three or four children, i don't see how we could have made it, you know, without me working.	and, if i'd of probably had three or four children but not both, i don't see how  we could have made it, you know, without me working .	and, if i'd of probably had three or four children, i don't see how  we could have made it, you know, without me working but not both .
85664:16	get an extra bedroom or a basement.	get an extra bedroom or a but not both basement.	get an extra bedroom or a basement but not both.
20446:21	so if you pay your rent or your house payment every two weeks, instead of once a month, you'll come out paying a, uh, one month extra every year.	so if you pay your rent or your house payment every two weeks but not both, instead of once a month, you'll come out  paying a, uh, one month extra every year.	so if you pay your rent or your house payment every two weeks, instead of once a month but not both, you'll come out  paying a, uh, one month extra every year.
113850:99	if they were to take half of what they spend on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs that one really might.	if they were  to take half of what they spend  on that and put it on some economic, you know, inter-, intergovernmental or inter united states like but not both programs that one really might.	if they were  to take half of what they spend  on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs but not both that one really might.
70127:16	that's the second or third year in a row that we've had a real rainy spring.	that's the second or third year but not both in a row that we've had a real rainy spring .	that's the second or third year in a row but not both that we've had a real rainy spring .
46957:32	they're only going to make like three or four thousand.	they're only going  to make like three or four but not both thousand.	they're only going  to make like three or four thousand but not both.
153451:44	i guess i kind of do a similar thing. more, uh, medium or longer range.	i guess i kind of do a similar thing. more, uh, medium or longer but not both range.	i guess i kind of do a similar thing. more, uh, medium or longer range but not both.
99180:110	and, and in the winter, you know, i just add a, maybe wear longer sleeve shirts than i do in the summer. and add a heavier jacket or, you know, wear jackets more in the winter than i do in the summer.	and, and in the winter, you know, i just add a, maybe wear longer sleeve shirts than i do in the summer. and add a heavier jacket or, you know, wear but not both jackets more  in the winter than i do in the summer.	and, and in the winter, you know, i just add a, maybe wear longer sleeve shirts than i do in the summer. and add a heavier jacket or, you know, wear jackets more  in the winter than i do in the summer but not both.
173415:33	and, uh, i think either send them home or do something a little more interesting.	and, uh, i think either send them home or do something but not both a little more interesting.	and, uh, i think either send them home or do something a little more interesting but not both.
13410:53	--n40098f being a professional and, of course, you probably belong to one or more professional organizations,	being a professional and, of course, you probably belong to one or more but not both professional organizations,	being a professional and, of course, you probably belong to one or more professional organizations but not both,
61608:108	and when he's not right at the door in the morning i really worry that something's happened to him, that somebody, he's got in a fight or, you know, somebody's hit him	and when he's not right at the door in the morning  i really worry that something's happened to him, that somebody, he's got in a fight or, you know, somebody's but not both hit him	and when he's not right at the door in the morning  i really worry that something's happened to him, that somebody, he's got in a fight or, you know, somebody's hit him but not both.
84620:54	and were they, uh, were they, were they obviously poor or depri-, you know.	and were they, uh, were they, were they obviously poor or depri- but not both, you know.	and were they, uh, were they, were they obviously poor or depri-, you know but not both.
156906:44	committing them mostly is, you know, either crimes of passion or at the moment	committing them mostly is, you know, either crimes of passion or at but not both the moment	committing them mostly is, you know, either crimes of passion or at the moment but not both.
134703:78	and, uh, right now we're in a, uh, i guess it's either a zero lot line or a garden home. which you might call it.	and, uh, right now we're in a, uh, i guess it's  either a zero lot line or a but not both garden home. which you might call it .	and, uh, right now we're in a, uh, i guess it's  either a zero lot line or a garden home. which you might call it but not both .
8889:22	i make a lot of afghans or used to make a lot of them.	i make a lot of afghans or used  to make a lot of but not both them.	i make a lot of afghans or used  to make a lot of them but not both.
12200:93	other than that i'm not sure what, what individuals can do other than like i said get involved through a group or an organization.	other than that i'm not sure what, what individuals can do  other than like i said  get involved  through a group or an but not both organization.	other than that i'm not sure what, what individuals can do  other than like i said  get involved  through a group or an organization but not both.
156208:29	but i swear it's at least second or third grade, sometimes.	but i swear it's at least second or third grade but not both, sometimes.	but i swear it's at least second or third grade, sometimes but not both.
112417:64	my husband was saying that up north they have such nice restaurants where you can go after a theater or after the movie.	my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the but not both movie.	my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.
144163:103	you know, he doesn't have, they don't have to rely on him to score ev-, you know, thirty or forty points at every at every game	you know, he doesn't have, they don't have  to rely on him  to score ev-, you know, thirty or forty but not both points at every at every game	you know, he doesn't have, they don't have  to rely on him  to score ev-, you know, thirty or forty points at every at every game but not both.
55495:27	and no one is staring at anybody else or worrying about what anything else is doing.	and no one is staring at anybody else or worrying but not both about what anything else is doing .	and no one is staring at anybody else or worrying about what anything else is doing but not both .
57709:45	the friend of ours over here, he's got, uh, sixty-five, or sixty-six mustang the six cylinder.	the friend of ours over here, he's got, uh, sixty-five, or sixty-six but not both mustang the six cylinder.	the friend of ours over here, he's got, uh, sixty-five, or sixty-six mustang but not both the six cylinder.
6363:73	it amazes me how much the, the costs are going to go up over the next ten or fifteen years.	it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .	it  amazes me how much the, the costs are going  to go up over the next ten or fifteen years but not both .
13468:42	they just, you know, start going through the phone book or going through a series of numbers,	they just, you know, start  going through the phone book or going through a series of but not both numbers,	they just, you know, start  going through the phone book or going through a series of numbers but not both,
93546:68	you, i mean, you can be as busy as you want to be, or as laid back as you want to be.	you, i mean, you can be as busy as you want  to be, or as laid back but not both as you want  to be.	you, i mean, you can be as busy as you want  to be, or as laid back as you want  to be but not both.
14163:45	they're, maybe they're a little more efficient, or have more to do over that same time frame.	they're, maybe they're a little more efficient, or have but not both more to do  over that same time frame.	they're, maybe they're a little more efficient, or have more to do  over that same time frame but not both.
15207:70	well, it sounded like, i mean, this is like major long term commitment, like a year or six months,	well, it sounded like, i mean, this is like major long term commitment, like a year or six but not both months,	well, it sounded like, i mean, this is like major long term commitment, like a year or six months but not both,
76507:42	i'm not sure if it's more a problem with american families or a problem with the school system.	i'm not sure if it's more a problem with american families or a problem with the school but not both system.	i'm not sure if it's more a problem with american families or a problem with the school system but not both.
766:47	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.	and whether it, whether it won all kinds of awards or whether it just was okay but not both at the box office, i think he would have been happy.	and whether it, whether it won all kinds of awards or whether it just was okay at the box office but not both, i think he would have been happy.
106988:25	do you, um, buy from dealers or from individuals.	do you, um, buy from dealers or from but not both individuals.	do you, um, buy from dealers or from individuals but not both.
143238:29	and so, uh, we really want four or five bedroom house	and so, uh, we really want four or five but not both bedroom house	and so, uh, we really want four or five bedroom house but not both.
47853:37	i, most of my friends have three or four kids	i, most of my friends have three or four but not both kids	i, most of my friends have three or four kids but not both.
26390:57	well, ford's done a real good job in the last, uh, say, ten years or at least the last five to te-, six years, so, of really turning around their, um, quality, i think, um.	well, ford's done a real good job  in the last, uh, say, ten years or at least the last five to te-, six but not both years, so, of  really turning around their, um, quality, i think , um.	well, ford's done a real good job  in the last, uh, say, ten years or at least the last five to te-, six years but not both, so, of  really turning around their, um, quality, i think , um.
173724:140	and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level.	and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger but not both votes at the national level.	and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level but not both.
1131:129	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded on a day-to-day basis or either on a growing frequency.	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded  on a day-to-day basis or either on a but not both growing frequency .	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded  on a day-to-day basis or either on a growing frequency but not both .
129768:34	i said if i knew beyond a doubt or if i felt beyond a doubt that he had done it, yeah, i guess i could convict him,	i said if i knew beyond a doubt  or if i felt beyond a doubt but not both  that he had done it, yeah, i guess i could convict him,	i said if i knew beyond a doubt  or if i felt beyond a doubt  that he had done it, yeah, i guess i could convict him but not both,
18197:49	um, where you live is there a real high, uh, alkaline or ash content	um, where you live  is there a real high, uh, alkaline  or ash but not both  content	um, where you live  is there a real high, uh, alkaline  or ash  content but not both.
156857:70	uh, so do, do you think it's more important to spend money on research or for support of, uh, people.	uh, so do, do you think it 's more important to spend money on research or for support but not both of, uh, people.	uh, so do, do you think it 's more important to spend money on research or for support of, uh, people but not both.
155799:32	a term limitation for congress would be like three terms or even four terms	a term limitation for congress would be like three terms or even but not both four terms	a term limitation for congress would be like three terms or even four terms but not both.
20080:60	currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries.	currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain but not both countries.	currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries but not both.
106206:40	i eat differently than what i could eat at home or around here.	i eat differently than what i could eat  at home or around but not both here.	i eat differently than what i could eat  at home or around here but not both.
158308:59	and this is supposed to be a very well-known center here in tyler who had two or three, um, centers, all over, you know, the, um, city	and this is supposed  to be a very well-known center here in tyler who  had two or three but not both, um, centers, all over, you know, the, um, city	and this is supposed  to be a very well-known center here in tyler who  had two or three, um, centers but not both, all over, you know, the, um, city
75061:22	and now it's running ten or fifteen minutes fast again.	and now it's running ten or fifteen minutes but not both fast again.	and now it's running ten or fifteen minutes fast again but not both.
140767:28	uh, she can't hear worth a darn or see very well,	uh, she can't hear worth a darn or see but not both very well,	uh, she can't hear worth a darn or see very well but not both,
94821:71	is it the, do you think it's the values that they're teaching in school or the values they get from home.	is it the, do you think it's the values that they're teaching  in school or the values but not both they get  from home.	is it the, do you think it's the values that they're teaching  in school or the values they get  from home but not both.
162164:181	but i think they're obliged to have these things because hertz and avis and those folks have it in their contract that they can sell it back to g m after, you know, it's, after they've used it for six months and put you know, twelve or fifteen thousand miles, on it	but i think they're obliged  to have these things because hertz and avis and those folks have it  in their contract that they can sell it back to g m after, you know, it's, after they've used it for six months and put you know, twelve or fifteen thousand miles but not both, on it	but i think they're obliged  to have these things because hertz and avis and those folks have it  in their contract that they can sell it back to g m after, you know, it's, after they've used it for six months and put you know, twelve or fifteen thousand miles, on it but not both.
68148:38	they just, uh, started it again, too just late, or, within the past few years.	they just, uh, started it again, too just late, or, within the past few but not both years.	they just, uh, started it again, too just late, or, within the past few years but not both.
78977:102	so what do you think about, uh, what do you think about what you see on t v about them, like in the news or on the ads,	so what do you think  about, uh, what do you think  about what you see  on t v about them, like in the news or on the but not both ads,	so what do you think  about, uh, what do you think  about what you see  on t v about them, like in the news or on the ads but not both,
163335:87	uh, our policies and procedures manual, uh, the furthest it goes about drugs is in the, kind of the miscellaneous section, or its reasons for immediate dismissal,	uh, our policies and procedures manual, uh, the furthest it goes  about drugs is in the, kind of the miscellaneous section, or its reasons for but not both immediate dismissal,	uh, our policies and procedures manual, uh, the furthest it goes  about drugs is in the, kind of the miscellaneous section, or its reasons for immediate dismissal but not both,
99865:30	i was way out to the west maybe four or five miles from, from the city limits	i was way out to the west maybe four or five but not both miles from, from the city limits	i was way out to the west maybe four or five miles but not both from, from the city limits
111042:70	and it's just great because you can put, you know, you can decorate them up, or dress them up, if you want,	and it's just great because you can put, you know, you can decorate them up, or dress but not both them up, if you want,	and it's just great because you can put, you know, you can decorate them up, or dress them up, if you want but not both,
26845:102	and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that actually started the thing, or was, you know, really interested in things like that.	and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that  actually started the thing, or was but not both, you know, really interested in things like that.	and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that  actually started the thing, or was, you know, really interested in things like that but not both.
98372:16	we will rent two or three movies on thursday	we will rent two or three movies but not both on thursday	we will rent two or three movies on thursday but not both.
122805:19	but there is usually two or three days in the week that you can get out there and play,	but there is usually two or three days but not both in the week that you can get out there and play ,	but there is usually two or three days in the week that you can get out there and play but not both ,
1756:89	the, the piece of music, the piece of music was about, i thinkf about forty or fifty years old.	the, the piece of music, the piece of music was about, i think  about forty or fifty but not both years old.	the, the piece of music, the piece of music was about, i think  about forty or fifty years old but not both.
174107:42	and there's always that, that chance that one or two people could be playing devil's advocate for a good reason, you know.	and there's always that, that chance that one or two people but not both could be playing devil's advocate for a good reason, you know.	and there's always that, that chance that one or two people could be playing devil's advocate for a good reason, you know but not both.
68690:54	mumblex, they don't want anyone with exper-, anyone with particular experience or knowledge of the legal system.	mumblex, they don't want anyone with exper-, anyone with particular experience or knowledge but not both of the legal system.	mumblex, they don't want anyone with exper-, anyone with particular experience or knowledge of the legal system but not both.
170872:72	uh, i think it's sort of the opposite of what you would want when you buy a car or refrigerator something.	uh, i think it's sort of the opposite of what you would want  when you buy a car or refrigerator but not both something .	uh, i think it's sort of the opposite of what you would want  when you buy a car or refrigerator something but not both .
127545:21	and i'd ride about two or three miles a day,	and i'd ride about two or three miles but not both a day,	and i'd ride about two or three miles a day but not both,
55886:44	since we live here and we all benefit, rich, poor or in between, uh, there are benefits even for those whof have it the hardest.	since we live here and we all  benefit, rich, poor or in between but not both, uh, there are benefits even for those who  have it the hardest.	since we live here and we all  benefit, rich, poor or in between, uh, there are benefits even for those who  have it the hardest but not both.
37011:85	but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power,	but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing but not both the communist power,	but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power but not both,
91185:89	but some of the, uh, the small, some of the larger small schools, you know, i guess around three or four thousand students have a, can offer a broader range of curriculums and things,	but some of the, uh, the small, some of the larger small schools, you know, i guess around three or four thousand students but not both have a, can offer a broader range of curriculums and things,	but some of the, uh, the small, some of the larger small schools, you know, i guess around three or four thousand students have a, can offer a broader range of curriculums and things but not both,
119672:89	and i, well, i can't think of a time that i've been fishing that i haven't run into one or two of them.	and i, well, i can't think of a time that i've been fishing  that i haven't run into one or two but not both of them .	and i, well, i can't think of a time that i've been fishing  that i haven't run into one or two of them but not both .
163866:106	what's more likely to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car theft, you know, it, things of that nature.	what 's more likely  to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car but not both theft, you know, it, things of that nature.	what 's more likely  to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car theft but not both, you know, it, things of that nature.
43216:36	and we got rid of them, believe it or not, with smoke bombs, which is just about impossible to do,	and we got rid  of them, believe it or not but not both, with smoke bombs, which  is just about impossible to do ,	and we got rid  of them, believe it or not, with smoke bombs, which  is just about impossible to do but not both ,
91064:123	they had chosen santa barbara, california for this summer and, and did not get enough people that were willing to go that far, because most of us live either in the midwest, or like in the texas, oklahoma area.	they had chosen santa barbara, california for this summer and, and did not get enough people that  were willing  to go that far, because most of us live either in the midwest, or like in the texas, oklahoma but not both area.	they had chosen santa barbara, california for this summer and, and did not get enough people that  were willing  to go that far, because most of us live either in the midwest, or like in the texas, oklahoma area but not both.
79227:23	and if they don't say yes or no, then maybe somebodye will vote for them that wouldn't have if they had come down on the wrong side.	and if they don't say yes or no but not both, then maybe somebody  will vote for them that  wouldn't have if they had come down on the wrong side.	and if they don't say yes or no, then maybe somebody  will vote for them that  wouldn't have if they had come down on the wrong side but not both.
14875:209	but the guy at the very top, the one who's, whoc's really making the millions and the millions is the one who also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis in some other direction, other than on the drug dealing,	but the guy at the very top, the one who 's, who 's really making the millions and the millions is the one who  also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis but not both in some other direction, other than on the drug dealing,	but the guy at the very top, the one who 's, who 's really making the millions and the millions is the one who  also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis in some other direction, other than on the drug dealing but not both,
11792:29	but, uh, i have some question, whether or not they will ever really get around to that.	but, uh, i have some question, whether or not but not both they will ever really get around to that.	but, uh, i have some question, whether or not they will ever really get around to that but not both.
118424:62	and altog-, all total, it was just under two hundred dollars, believe it or not, to get all that done.	and altog-, all total, it  was just under two hundred dollars, believe it or not but not both, to get all that done .	and altog-, all total, it  was just under two hundred dollars, believe it or not, to get all that done but not both .
74280:75	and you can't make up in a classroom of one hour a day, what's not been doned for, fifteen or sixteen years at home,	and you can't make up in a classroom of one hour a day, what 's not been done  for, fifteen or sixteen but not both years at home,	and you can't make up in a classroom of one hour a day, what 's not been done  for, fifteen or sixteen years but not both at home,
8419:45	well, have you any plans to, uh, maybe, uh, expand or move onward.	well, have you any plans to, uh, maybe, uh, expand or move but not both onward.	well, have you any plans to, uh, maybe, uh, expand or move onward but not both.
164502:39	i, i'm in washington, d c or at least very close to it.	i, i'm in washington, d c or at least very close but not both to it.	i, i'm in washington, d c or at least very close to it but not both.
55620:26	because no matter what i did or how i did it, i invariably got myself wet.	because no matter what i did  or how i did it but not both , i invariably got myself wet.	because no matter what i did  or how i did it , i invariably got myself wet but not both.
89923:105	they, they show very well un-, they show very well unless you have, you know, lived in a lot of houses around the area, or looked at a lot of houses around here.	they, they show very well un-, they show very well unless you have, you know, lived in a lot of houses around the area, or looked at a lot of houses but not both around here.	they, they show very well un-, they show very well unless you have, you know, lived in a lot of houses around the area, or looked at a lot of houses around here but not both.
57651:59	i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that were not gas guzzlers	i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes but not both, were good little v eight engines that  were not gas guzzlers	i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that  were not gas guzzlers but not both.
15229:24	i couldn't possibly commit a year or two of my life to, to go do something.	i couldn't possibly commit a year or two but not both of my life  to, to go  do something.	i couldn't possibly commit a year or two of my life  to, to go  do something but not both.
47484:42	but i don't even know if they're still new york yankees, or mumblex new jersey.	but i don't even know if they're still new york yankees, or mumblex but not both new jersey.	but i don't even know if they're still new york yankees, or mumblex new jersey but not both.
20160:209	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i thinkb it, it would bring in a lot of, uh, people that are, run out of other countries or in trouble in, in other countries.	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i think  it, it would bring in a lot of, uh, people that  are, run  out of other countries or in trouble in but not both, in other countries.	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i think  it, it would bring in a lot of, uh, people that  are, run  out of other countries or in trouble in, in other countries but not both.
156479:48	i, i don't trust myself with using a calculator or computer, y-, too much stuff like that because i want to make sure that, that i, i keep on top of the numbers and understand what's going on.	i, i don't trust myself with  using a calculator or computer but not both, y-, too much stuff like that because i want  to make sure that, that i, i keep on top of the numbers and understand what 's going on.	i, i don't trust myself with  using a calculator or computer, y-, too much stuff like that because i want  to make sure that, that i, i keep on top of the numbers and understand what 's going on but not both.
21053:31	and i watched that for like, oh, ten or fifteen straight years,	and i watched that for like, oh, ten or fifteen but not both straight years,	and i watched that for like, oh, ten or fifteen straight years but not both,
52433:93	he, he happens to be, uh, a friend of one of her, her business associates. and, or, not, not a friend, a cousin, a cousin.	he, he happens  to be, uh, a friend of one of her, her business associates. and, or, not, not a friend but not both, a cousin, a cousin.	he, he happens  to be, uh, a friend of one of her, her business associates. and, or, not, not a friend, a cousin, a cousin but not both.
164097:49	one of my sons has a, a plymouth, uh, van or, you know, uh, uh, that same type of thing, the voyager, i guess	one of my sons has a, a plymouth, uh, van or, you know, uh, uh, that same type of thing, the voyager but not both, i guess	one of my sons has a, a plymouth, uh, van or, you know, uh, uh, that same type of thing, the voyager but not both, i guess
89290:20	see i went about two or three weeks ago and saw f x two	see i went about two or three but not both weeks ago and saw f x two	see i went about two or three weeks ago and saw f x two but not both.
167079:57	like for petty, for theft and, and stuff like that or manslaughter, you know, i don't think they should do that.	like for petty, for theft and, and stuff like that or manslaughter but not both, you know, i don't think they should do that.	like for petty, for theft and, and stuff like that or manslaughter but not both, you know, i don't think they should do that.
9174:38	uh, what do you think individuals could do, or society could do to alleviate this problem.	uh, what do you think individuals could do , or society but not both could do  to alleviate this problem.	uh, what do you think individuals could do , or society but not both could do  to alleviate this problem.
175985:81	you, you you were born in, in the, in the late thirties or early forties.	you, you you were born  in, in the, in the late thirties or early but not both forties.	you, you you were born  in, in the, in the late thirties or early forties but not both.
163049:87	it's kind of like do it, do it in the similar vein similar, like, uh, v c r or television repair.	it's kind of like do it, do it in the similar vein similar, like, uh, v c r or television but not both repair.	it's kind of like do it, do it in the similar vein similar, like, uh, v c r or television repair but not both.
143588:93	and, uh, people there were saying that the way that the schools were goingb, a lot of people were going away and going to private schools, or else going to home, where they taught their kids at home. or, you know, anything but the public schools and the ones that did have, you know, the kids,	and, uh, people there were saying that the way that the schools were going , a lot of people were going away and going to private schools, or else going to home, where they taught their kids at home . or, you know, anything but the public schools but not both and the ones that  did have, you know, the kids,	and, uh, people there were saying that the way that the schools were going , a lot of people were going away and going to private schools, or else going to home, where they taught their kids at home . or, you know, anything but the public schools and the ones that  did have, you know, the kids but not both,
42958:70	but, boy if someone did break in, i don't, i don't know that i could or would even grab it.	but, boy if someone did break in, i don't, i don't know that i could or would even grab but not both it.	but, boy if someone did break in, i don't, i don't know that i could or would even grab it but not both.
50706:78	it would be great to have some of those organizations like you mentionedf that were during the depression or coming out of the depression available for kids.	it  would be great to have some of those organizations like you mentioned  that  were during the depression or coming out but not both of the depression available for kids.	it  would be great to have some of those organizations like you mentioned  that  were during the depression or coming out of the depression available for kids but not both.
19844:87	well, i've gone to the point where my husband, my husband travels, i get out like, you know, two or three books.	well, i've gone to the point where my husband, my husband travels, i get out like, you know, two or three but not both books .	well, i've gone to the point where my husband, my husband travels, i get out like, you know, two or three books but not both .
117982:68	and there's nothing you could say bad about him, except that i was more of a cat or a small dog person that you could site in the chair and cuddle.	and there's nothing you could say  bad about him, except that i was more of a cat or a small dog but not both  person that you could sit  in the chair and cuddle .	and there's nothing you could say  bad about him, except that i was more of a cat or a small dog  person that you could sit  in the chair and cuddle but not both .
13033:62	and i never have figured out how he won, uh, entertainer of the year for about, three or four years in a row.	and i never have figured out how he won, uh, entertainer of the year for about, three or four but not both years in a row .	and i never have figured out how he won, uh, entertainer of the year for about, three or four years in a row but not both .
55123:44	so, i don't know how these changes are going to help or hinder the team,	so, i don't know how these changes are going  to help or hinder but not both the team ,	so, i don't know how these changes are going  to help or hinder the team but not both ,
173993:39	but if you have a problem with what we did or how we did ita, you can always come back and talk to me about it.	but if you have a problem with what we did  or how we did it but not both , you can always come back and talk to me about it.	but if you have a problem with what we did  or how we did it , you can always come back and talk to me about it but not both.
96875:30	i do not know if he was a general or, you know, what his rank was,	i do not know if he was a general or, you but not both know, what his rank was ,	i do not know if he was a general or, you know, what his rank was but not both ,
25750:101	i've, i've kind of formed the attitude that, you know, if i could just, if i could pick two or three shots out, uh, out of my game every time and put them together on one hole, then i do pretty good	i've, i've kind of formed the attitude that, you know, if i could just, if i could pick two or three but not both shots out, uh, out of my game every time and put them together on one hole, then i do pretty good	i've, i've kind of formed the attitude that, you know, if i could just, if i could pick two or three shots but not both out, uh, out of my game every time and put them together on one hole, then i do pretty good
47691:24	and, i mean, mumblex four or more children are thin,	and, i mean, mumblex four or more but not both children are thin,	and, i mean, mumblex four or more children are thin but not both,
18798:25	and then you can either bundle your newspapers or put them in grocery bags.	and then you can either bundle your newspapers or put them but not both in grocery bags.	and then you can either bundle your newspapers or put them in grocery bags but not both.
48005:83	and, uh, then you'd be willing to give up your job to stay home and with, or stay with the children.	and, uh, then you'd be willing  to give up your job  to stay home and with, or stay but not both with the children.	and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.
